date,net_return,turnover,gross_exposure,net_exposure,beta_exposure,equity,drawdown
2023-08-05,-0.000611805918054472,0.20738567518856144,0.20738569,9.685755e-08,-0.0011730045,0.9993881940819456,0.0
2023-08-06,-0.0020616479107675332,0.05238094867672771,0.25976664,9.685755e-08,2.4780631e-05,0.9973278074995707,-0.0020616479107675723
2023-08-07,0.0016792542154089461,0.05238095438107848,0.31000084,9.685755e-08,0.0007646382,0.999002574424459,-0.00038585572630345233
2023-08-08,0.004667907413207104,0.052380954613909125,0.36238182,1.0430813e-07,0.0060614347,1.0036658259474278,0.0
2023-08-09,-0.00030511304376341285,0.052380953915417194,0.40586138,9.685755e-08,0.022391267,1.0033595944123517,-0.0003051130437634608
2023-08-10,-0.00038651209082217973,0.05238094832748175,0.45824233,9.685755e-08,0.022131786,1.0029717837976688,-0.0006915072047051218
2023-08-11,-0.00651650227501068,0.05238095484673977,0.5106233,1.3411045e-07,0.022535779,0.9964359158867798,-0.007203503271443146
2023-08-12,-0.004839882991167542,0.05238096115499502,0.5629053,1.3411045e-07,0.023039132,0.9916132826456909,-0.012008522149650425
2023-08-13,-0.003117813159740763,0.05238095251843333,0.61403275,1.5646219e-07,0.016023286,0.9885216177036844,-0.015088894981004075
2023-08-14,-0.0043953187306469774,0.052380943205207586,0.66641366,1.7881393e-07,0.018468603,0.9841767501217419,-0.019417893208916293
2023-08-15,0.012150391176342965,0.052380960900336504,0.71687675,2.0861626e-07,-0.00113675,0.996134882622383,-0.007503437030882076
2023-08-16,0.00955385012779152,0.05238095624372363,0.7684902,2.2351742e-07,-0.015527815,1.0056518059980224,0.0
2023-08-17,0.00696359481709078,0.052380957175046206,0.8208712,2.3841858e-07,-0.044872135,1.0126547577020681,0.0
2023-08-18,-0.012518704783491557,0.05238096322864294,0.87325203,2.2351742e-07,-0.034681223,0.9999776317427977,-0.012518704783491597
2023-08-19,-0.0029646170619889744,0.052380952693056315,0.9256331,2.5331974e-07,-0.050275967,0.9970130809941257,-0.015446208679685491
2023-08-20,0.003683797178736313,0.052380954672116786,0.978014,2.3841858e-07,-0.07466926,1.000685874969055,-0.011819312200905596
2023-08-21,0.0007385457788477652,0.05238095810636878,1.030395,2.2351742e-07,-0.074623674,1.001424927297966,-0.011089495525192561
2023-08-22,-0.004655736212291231,0.052380948793143034,1.082776,2.3841858e-07,-0.080586895,0.9967625570000538,-0.015693601971591198
2023-08-23,-0.01282106564984133,0.07168674026615918,1.0785279,2.2351742e-07,-0.08602357,0.9839829988194524,-0.02831345892027226
2023-08-24,0.0001723318952808768,0.07846758449159097,1.0785279,2.5331974e-07,-0.08275133,0.9841525704745631,-0.028146006337029128
2023-08-25,0.0037455273258456146,0.08095222809060942,1.0772314,2.2351742e-07,-0.073298335,0.9878387408200767,-0.024505900647032286
2023-08-26,-0.0038617627685380283,0.08602747286204249,1.0618858,2.3841858e-07,-0.06237489,0.9840239419494583,-0.028273027440842036
2023-08-27,-0.010514373005422385,0.060608658473938704,1.061886,2.5331974e-07,-0.052000627,0.9736775471775356,-0.03849012728975887
2023-08-28,0.009310960028864428,0.07387298797402764,1.0619632,2.3841858e-07,-0.044646725,0.9827434199003083,-0.02953754729759539
2023-08-29,0.003722257262644234,0.36963622212533664,0.71902275,1.7881393e-07,0.003377907,0.9864014437323482,-0.025925236384900185
2023-08-30,-0.004117760028586417,0.0556112111753464,0.71324533,1.937151e-07,0.0025003701,0.9823396792952072,-0.029936242511369282
2023-08-31,-0.0024561228476723046,0.05285828639171086,0.7033481,1.7881393e-07,0.00785999,0.9799269323647152,-0.03231883826983584
2023-09-01,-0.0019370195492629137,0.045285085565410554,0.70164037,1.5646219e-07,0.01419533,0.9780287947398755,-0.0341932555975607
2023-09-02,0.007224830410745199,0.04701319464948028,0.69378614,1.7136335e-07,0.020079702,0.9850948869186966,-0.027215465659699123
2023-09-03,0.00015969707290230416,0.05100199027219787,0.6834592,1.7136335e-07,0.020358458,0.9852522036886686,-0.027060114817000214
2023-09-04,-0.0055707826604812,0.046939971536630765,0.6930667,1.527369e-07,0.027063852,0.979763577796159,-0.03248015145906824
2023-09-05,-0.002086128992777958,0.05576478142756969,0.6984255,1.6018748e-07,0.0277602,0.9777196645904506,-0.03449852266619757
2023-09-06,-0.003436239412512805,0.35033301799558103,1.0301341,2.7567148e-07,0.044779453,0.974359985744596,-0.03781621689545134
2023-09-07,0.01434216889173149,0.06997296737972647,1.0282705,2.6077032e-07,0.059954166,0.9883344212214902,-0.02401641457328063
2023-09-08,-0.002998773233454813,0.07496436580549926,1.023698,2.8684735e-07,0.055060353,0.9853706304134292,-0.026943168025549524
2023-09-09,0.0036516075670742793,0.07747677550651133,1.0196444,3.017485e-07,0.04894901,0.9889688172638197,-0.023389946334718248
2023-09-10,0.012311037831779685,0.07070090575143695,1.0295146,3.1851232e-07,0.04726875,1.001144049787605,-0.01136686301714862
2023-09-11,0.0009302952363250369,0.35421035945182666,0.699955,2.1792948e-07,0.028987996,1.0020754093279975,-0.010447142319340297
2023-09-12,0.007744997703639456,0.058355406508781016,0.69837224,2.1606684e-07,0.03966758,1.0098364810721165,-0.0027830577089736908
2023-09-13,0.0010528782601541024,0.049822661210782826,0.700219,2.2351742e-07,0.040039282,1.010899715949348,-0.0017331096697780213
2023-09-14,0.009483870478851714,0.04752508271485567,0.70297503,2.0302832e-07,0.045306057,1.0204869579225198,0.0
2023-09-15,-0.005579739230146515,0.05045418720692396,0.7025914,1.9744039e-07,0.037853546,1.0147929068095465,-0.005579739230146652
2023-09-16,0.006040205740848251,0.05526947509497404,0.7147311,1.6018748e-07,0.03922374,1.0209224647510295,0.0
2023-09-17,0.0011412622148927766,0.05195183656178415,0.7168882,1.7881393e-07,0.040230017,1.022087604984385,0.0
2023-09-18,0.006949422082338969,0.3653433409635909,1.062029,2.5331974e-07,0.06807389,1.0291905231565484,0.0
2023-09-19,-0.0017931616680562001,0.08083278386038728,1.0620289,2.5331974e-07,0.055542134,1.0273450181612973,-0.001793161668056209
2023-09-20,-0.005666214290795324,0.09410375714651309,1.0551983,2.5331974e-07,0.047007546,1.0215238611378143,-0.0074492155205823085
2023-09-21,-0.008910093845137454,0.056431281613186,1.0542629,2.644956e-07,0.0396126,1.0124219876700293,-0.01629293615635863
2023-09-22,-0.0029287773978812766,0.06616970303002745,1.0526931,2.4214387e-07,0.050698854,1.0094568290354233,-0.019173995171080094
