year,start,end,return,cagr,vol,sharpe,sortino,max_dd,calmar,positive_months,n_months,turnover_pa,worst_month,best_month
2023,2023-08-05,2023-12-31,-0.00569597423755186,-0.013895667058678396,0.14902853916065262,-0.019870231238559417,-0.033511602277140444,0.10287610250273249,-0.13507186528741444,2,5,29.64478115804987,-0.06241490963329577,0.05896879320883075
2024,2024-01-01,2024-12-31,0.5840950785168275,0.5821053323991845,0.18849897369969715,2.529305679024795,4.435205406859309,0.09453214681120325,6.157750056767354,11,12,33.31663662310353,-0.015893467004896022,0.1263071346990552
2025,2025-01-01,2025-12-31,0.8583430299293318,0.8583430299293318,0.18144818644518812,3.5082576490689754,6.813748649921013,0.0662832117916502,12.949629426745867,12,12,31.84685800724492,0.011267429424512976,0.10575141534017818
2026,2026-01-01,2026-08-03,0.22855615381345085,0.41828537442605906,0.29995484855893734,1.3167770789881723,1.980249093872625,0.13911365223972838,3.006788821144884,6,8,30.351938048014173,-0.06427441779233822,0.10414480828927819
