,return
2023-08,-0.020073067635284825
2023-09,0.05896879320883075
2023-10,0.023149283989363667
2023-11,-0.06241490963329577
2023-12,-0.0011675469347158796
2024-01,0.03801114818062934
2024-02,0.024854187727670896
2024-03,0.016127875305380845
2024-04,0.09969605766744905
2024-05,0.02245880117786969
2024-06,0.1263071346990552
2024-07,0.019763138916133238
2024-08,0.020856516254103452
2024-09,-0.015893467004896022
2024-10,0.0433251499064875
2024-11,0.04827303186649412
2024-12,0.03274533290475867
2025-01,0.10575141534017818
2025-02,0.011267429424512976
2025-03,0.0312628457468207
2025-04,0.03032551608752687
2025-05,0.0308232988325019
2025-06,0.05377982833641881
2025-07,0.029274166057542406
2025-08,0.07349724192955298
2025-09,0.09711518657877538
2025-10,0.045912379495306244
2025-11,0.0747177688601719
2025-12,0.05669696699885618
2026-01,0.10414480828927819
2026-02,0.0376586871106277
2026-03,-0.0027920400276726376
2026-04,0.003793355515319563
2026-05,0.08955081262023601
2026-06,-0.06427441779233822
2026-07,0.014647302887604852
2026-08,0.035555310928880424
